ACCESSION	GROWTH HABIT	PLANT UNIFORMITY	PLANT VIGOR	FRUIT SHAPE	FRUIT LENGTH	FRUIT WEIGHT	FLESH DEPTH	FRUIT DIAMETER	MATURITY	FLESH COLOR	FRUIT SPOTTING	FRUIT SET	FRUIT COLOR	FRUIT SURFACE	UNIFORMITY OF FRUIT SIZE	UNIFORMITY OF FRUIT COLOR	UNIFORMITY OF FRUIT SHAPE	UNIFORMITY OF FRUIT SURFACE	VINE-LENGTH	SEED CAVITY COLOR	RIND STRIPE COLOR	POWDERY MILDEW	WEIGHT OF 100 SEEDS	100 SEED WEIGHT	FRUIT RIBBING	UNIFORMITY	PLANT HABIT	DAYS TO POLLINATION	FRUIT SURFACE COLOR	FRUIT SURFACE PATTERN	PLANT TYPE	FRUIT SKIN TEXTURE	CUCUMBER BEETLE INJURY	MINIMUM PLANT VIGOR	MAXIMUM PLANT VIGOR	FRUIT WIDTH MINIMUM	FLESH THICKNESS MAXIMUM	SQUASHBUG ADULT	SQUASHBUG NYMPH	FRUIT WIDTH MAXIMUM	FRUIT LENGTH MAXIMUM	FRUIT LENGTH MINIMUM	DOWNY MILDEW	FLESH THICKNESS MINIMUM	WATERMELON MOSAIC
PI 512146	2 – VINE		9 – EXCELLENT	7 – VARIABLE	14	3	3	22	5 – MIDSEASON	4 – MEDIUM ORANGE	6 – (1 = SLIGHT, 9 = PRONOUNCED)	2 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	9 – FURROWED				2 – SOMEWHAT UNIFORM																											
PI 512151	2 – VINE			7 – VARIABLE	16	2	3	14		5 – DARK ORANGE	3 – (1 = SLIGHT, 9 = PRONOUNCED)	3 – (1 = POOR, 9 = EXCELLENT)	6 – GREEN	9 – FURROWED	1 – VERY UNIFORM	1 – VERY UNIFORM	3 – VARIABLE	1 – VERY UNIFORM																											
PI 512161	2 – VINE			9 – PEAR	28	4	3	18		5 – DARK ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)		6 – GREEN	M – MIXED	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM	3 – VARIABLE																											
PI 512169	2 – VINE		9 – EXCELLENT	7 – VARIABLE	14	4	5	25	8 – LATE	5 – DARK ORANGE	6 – (1 = SLIGHT, 9 = PRONOUNCED)	9 – EXCELLENT	7 – TAN	9 – FURROWED				2 – SOMEWHAT UNIFORM																											
PI 512177	2 – VINE			7 – VARIABLE	20	7	5	26		5 – DARK ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)		6 – GREEN	9 – FURROWED	1 – VERY UNIFORM	1 – VERY UNIFORM	3 – VARIABLE	3 – VARIABLE																											
PI 512747																							8.35; 9; 9.06	8.35; 9; 9.06																					
PI 512766																							14.49; 17.26; 17.34; 18.55; 19.5	14.49; 17.34; 18.55; 17.26; 19.5																					
PI 512819																							5.64; 8.59	5.64; 8.59																					
PI 512829																							5.27; 8.09	8.09; 5.27																					
PI 512846																							6.12; 6.62; 9.7	6.62; 6.12; 9.7																					
PI 512866																							8.2; 9; 9.38	8.2; 9; 9.38																					
PI 512872																							4.84; 7.4	4.84; 7.4																					
PI 512875																							6.12; 9.88; 10.3	6.12; 10.3; 9.88																					
PI 512876																							7.51; 8.04; 10.06	8.04; 10.06; 7.51																					
PI 512882																							7.71; 10.12	10.12; 7.71																					
PI 525174																							16.02; 21.36	16.02; 21.36																					
PI 526243																							10.34; 15.26	10.34; 15.26																					
PI 526244																							12.92; 14.225; 14.94	14.94; 14.225; 12.92																					
PI 526245																							9.295; 14.32; 14.96	14.32; 14.96; 9.295																					
PI 526247																							15.225; 16.02	16.02; 15.225																					
PI 526249																							10.72	10.72																					
PI 526251																							12.18; 17.675	12.18; 17.675																					
PI 532377	2 – VINE	6 – (1 = POOR, 9 = EXCELLENT)	7 – (1 = POOR, 9 = EXCELLENT)	M – MIXED	24	2.7	3	17	3 – (1 = EARLY, 8 = LATE)	4 – MEDIUM ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)	3 – (1 = POOR, 9 = EXCELLENT)	5 – GREEN STRIPED	1 – SMOOTH	3 – VARIABLE	3 – VARIABLE	3 – VARIABLE	3 – VARIABLE	9	3 – YELLOW/ORANGE	1 – LIGHT GREEN																								
PI 532378	2 – VINE			7 – VARIABLE	45	17	5	28		5 – DARK ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED)		6 – GREEN	9 – FURROWED	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM																											
PI 532381	2 – VINE		9 – EXCELLENT	7 – VARIABLE	8	3	5	24	8 – LATE	5 – DARK ORANGE	1 – SLIGHT	6 – (1 = POOR, 9 = EXCELLENT)	6 – GREEN	9 – FURROWED				3 – VARIABLE																											
PI 536494				4 – ROUND	31			25	8 – LATE				1 – ORANGE	9 – FURROWED																															
PI 543218	2 – VINE		9 – EXCELLENT	7 – VARIABLE	17	2	3	16	5 – MIDSEASON	4 – MEDIUM ORANGE	3 – (1 = SLIGHT, 9 = PRONOUNCED)	9 – EXCELLENT	7 – TAN	9 – FURROWED				2 – SOMEWHAT UNIFORM																											
PI 543228	2 – VINE		9 – EXCELLENT	2 – ELONGATE	32	4	4	18	8 – LATE	5 – DARK ORANGE	9 – PRONOUNCED	9 – EXCELLENT	7 – TAN	9 – FURROWED				1 – VERY UNIFORM																											
PI 560946				2 – ELONGATE	33			10	8 – LATE				5 – GREEN STRIPED	1 – SMOOTH																															
PI 560952	2 – VINE			9 – PEAR	45	3	3	12		5 – DARK ORANGE	1 – SLIGHT		9 – VARIABLE	9 – FURROWED	2 – SOMEWHAT UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM																											
PI 574552				5 – OBLATE	5			17	8 – LATE				9 – VARIABLE	9 – FURROWED																															
Grif 14225	2 – VINE		9 – EXCELLENT	7 – VARIABLE	17	2.5	3.5	19		8 – ORANGE WITH GREENISH OVERCAST	M – MIXED	8 – (1 = POOR, 9 = EXCELLENT)	9 – VARIABLE	M – MIXED	3 – VARIABLE	1 – VERY UNIFORM	2 – SOMEWHAT UNIFORM	3 – VARIABLE																											
PI 634704	2 – VINE	1 – POOR	2 – (1 = POOR, 9 = EXCELLENT); 8 – (1 = POOR, 9 = EXCELLENT)	6 – OVAL; 3 – NECKED	9; 12	0.5; 1.1	9; 2	15; 18	8 – LATE	4 – MEDIUM ORANGE	1 – SLIGHT	7 – (1 = POOR, 9 = EXCELLENT); 6 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	1 – SMOOTH	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM																											
PI 698734	2 – VINE		5 – (1 = POOR, 9 = EXCELLENT)	9 – PEAR	10	0.2	1	8	7 – (1 = EARLY, 8 = LATE)	4 – MEDIUM ORANGE	1 – SLIGHT	1 – POOR	7 – TAN	1 – SMOOTH	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM	1 – VERY UNIFORM	4	3 – YELLOW/ORANGE	4 – WHITE																								
PI 634705	2 – VINE	1 – POOR	7 – (1 = POOR, 9 = EXCELLENT)	4 – ROUND	25	4.8	7	23	8 – LATE	2 – YELLOW-ORANGE	1 – SLIGHT	2 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	9 – FURROWED																															
PI 271345																								11.78; 21.39																					
Ames 26029																							19.8	19.8																					
PI 634706	2 – VINE	1 – POOR	7 – (1 = POOR, 9 = EXCELLENT)	7 – VARIABLE	19	5.5	7	22	8 – LATE	4 – MEDIUM ORANGE	1 – SLIGHT	5 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	1 – SMOOTH																															
Grif 14488	2 – VINE		9 – EXCELLENT	1 – OBLONG	33	4	4.5	20		3 – PALE ORANGE	1 – SLIGHT	4 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	9 – FURROWED	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM																											
PI 653064	2 – VINE	1 – POOR; 9 – EXCELLENT	7 – (1 = POOR, 9 = EXCELLENT); 9 – EXCELLENT	5 – OBLATE; 1 – OBLONG	13; 14; 18	1.7; 3; 1.5	2; 3; 4	18; 20; 16	8 – LATE; 5 – MIDSEASON	4 – MEDIUM ORANGE; 1 – YELLOW; 2 – YELLOW-ORANGE	5 – (1 = SLIGHT, 9 = PRONOUNCED); 3 – (1 = SLIGHT, 9 = PRONOUNCED)	1 – POOR; 9 – EXCELLENT; 3 – (1 = POOR, 9 = EXCELLENT)	5 – GREEN STRIPED; 6 – GREEN	9 – FURROWED; 1 – SMOOTH; 3 – WARTS	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	6	1 – WHITE	1 – LIGHT GREEN																								
Grif 15151	2 – VINE		9 – EXCELLENT	6 – OVAL	38	9	3	28		4 – MEDIUM ORANGE	1 – SLIGHT	3 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE	9 – FURROWED	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM																											
Grif 17270																							14.02																						
