ACCESSION	100 SEEDWEIGHT                            	WEIGHOF100SEEDS	FLESHCOLOR	FRUITSHAPE	FRUITSKINTEXTURE	MINIMUMPLANTVIGOR	FRUITWIDTHMAXIMUM	SQUASHBUGNYMPH	CUCUMBERBEETLEINJURY	FLESHTHICKNESSMAXIMUM	FRUITLENGTHMINIMUM	FRUITWIDTHMINIMUM	FRUITLENGTHMAXIMUM	SQUASHBUGADULT	FRUITSURFACEPATTERN	FRUITSURFACECOLOR	PLANTTYPE	MAXIMUMPLANTVIGOR	FLESHTHICKNESSMINIMUM
PI 175714	13.36; 13.45; 17	13.36; 13.45; 17	YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	15			3	30	10	40		SO – SOLID COLOR	TN – TAN; YE – YELLOW	V – VINE	1 – GOOD	
PI 176532	20; 19.73; 13.91	13.91; 19.73; 20	OR – ORANGE	GL – GLOBE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	20			3	15	15	20		MO – MOTTLED	GN – GREEN	V – VINE	1 – GOOD	
PI 176533	14.98; 14.3; 13.04; 11.8	11.8; 13.04; 14.3; 14.98	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	15	1.1	2 – INTERMEDIATE DAMAGE	3	18	10	43	1.1	SO – SOLID COLOR	TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 176534	10.5; 11.76; 12.2; 11.52; 16.65; 16.82	10.5; 11.52; 11.76; 12.2; 16.65; 16.82	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	14	0.9	2 – INTERMEDIATE DAMAGE	3	34	11	45	2.7	SO – SOLID COLOR	TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 176535	22.6; 23.1; 18.9	18.9; 22.6; 23.1	OR – ORANGE	GL – GLOBE; OG – OBLONG	2 – RIBBED; 4 – WARTY	1 – GOOD	24		2 – INTERMEDIATE DAMAGE	5	27	21	33	3.3	SP – SPECKLED; SO – SOLID COLOR; MO – MOTTLED	YE – YELLOW; TN – TAN; CR – CREAM; GN – GREEN	V – VINE	1 – GOOD	
PI 176536	23; 18.66	18.66; 23	YE – YELLOW	GL – GLOBE; OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	24	1.7	2 – INTERMEDIATE DAMAGE	3	24	21	32	3.3	ST – STRIPED; MO – MOTTLED	GN – GREEN	S – SEMI-BUSH	1 – GOOD	
PI 176537	11.68; 11.05; 12.48; 17.5; 19.21	11.05; 11.68; 12.48; 17.5; 19.21	YE – YELLOW	OG – OBLONG; GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	18		2 – INTERMEDIATE DAMAGE	3	18	10	38	4	ST – STRIPED; SP – SPECKLED; SO – SOLID COLOR; MO – MOTTLED	OR – ORANGE; GN – GREEN; CR – CREAM	V – VINE	1 – GOOD	
PI 176538	14.89; 15.23; 13.32	13.32; 14.89; 15.23	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	14		2 – INTERMEDIATE DAMAGE	3	43	12	50	1.7	SO – SOLID COLOR	CR – CREAM; TN – TAN	S – SEMI-BUSH	3 – MEDIUM	
PI 176539	14.3; 15; 15.3	14.3; 15; 15.3	OR – ORANGE	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	21			4			32	1.7	MO – MOTTLED; SO – SOLID COLOR; ST – STRIPED	GN – GREEN; YE – YELLOW; TN – TAN	V – VINE	1 – GOOD	
PI 176540	27.75; 27.79; 21; 20.36; 17.6	17.6; 20.36; 21; 27.75; 27.79	YE – YELLOW	OG – OBLONG; OB – OBOVATE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	20	3	4 – EXTREMELY SEVERE (PLANTS DEAD)	3	28	7	51	2.7	MO – MOTTLED; SO – SOLID COLOR	OR – ORANGE; CR – CREAM; GN – GREEN	V – VINE	1 – GOOD	
PI 176541	16.35; 10.22; 11.38; 10.08; 16.18; 10.8; 13.325; 15.31	10.08; 10.22; 10.8; 11.38; 13.325; 15.31; 16.18; 16.35	YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	13		0 – NO DAMAGE	3	23	7	43	2	MO – MOTTLED; SO – SOLID COLOR	OR – ORANGE; CR – CREAM; GN – GREEN	V – VINE	1 – GOOD	
PI 176542	35; 31.98; 21.2	21.2; 31.98; 35	OR – ORANGE	OG – OBLONG; OT – OBLATE	4 – WARTY; 2 – RIBBED	1 – GOOD	33		4 – EXTREMELY SEVERE (PLANTS DEAD)	3	28	23	33	1	ST – STRIPED; SP – SPECKLED; MO – MOTTLED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	
PI 176543	15.82; 16.53; 16.15; 19.23; 17.07; 18.99	15; 15.82; 16.15; 16.53; 17.07; 18.99; 19.23	YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	13		1 – SLIGHT DAMAGE	3	33	7	51	3	SP – SPECKLED; SO – SOLID COLOR	YE – YELLOW; GN – GREEN; CR – CREAM	V – VINE	1 – GOOD	
PI 176544	14.4; 15.96; 17.61	14.4; 15; 15.9; 15.96; 17.61	OR – ORANGE; YE – YELLOW	OG – OBLONG; GL – GLOBE	2 – RIBBED	1 – GOOD	28		1 – SLIGHT DAMAGE	3	15	15	43	2.7	MO – MOTTLED; SP – SPECKLED	YE – YELLOW; GN – GREEN	V – VINE	1 – GOOD	2
PI 176545	15.5; 17.24; 16.24; 17.57	15.5; 16.24; 17.24; 17.57	YE – YELLOW	GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	20		1 – SLIGHT DAMAGE	4			23	1.3	SP – SPECKLED; SO – SOLID COLOR; MO – MOTTLED	TN – TAN; CR – CREAM; OR – ORANGE; GN – GREEN	V – VINE	1 – GOOD	3
PI 176546	22.6; 19; 14.22; 14.42	14.22; 14.42; 19; 22.6	OR – ORANGE	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	19		2 – INTERMEDIATE DAMAGE	3	23	11	30	1.3	SO – SOLID COLOR	CR – CREAM; TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 176547	15.1; 13.11; 15.75; 16.52	13.11; 15; 15.1; 15.75; 16.52	OR – ORANGE	GL – GLOBE; OG – OBLONG; OT – OBLATE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	23		1 – SLIGHT DAMAGE	3	18	20	20	4.7	SP – SPECKLED; MO – MOTTLED; SO – SOLID COLOR	GN – GREEN; YE – YELLOW	V – VINE	1 – GOOD	
PI 176548	16; 11.6; 12.65; 11.8; 14.8	11.6; 11.8; 12.65; 14.8; 16	OR – ORANGE	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	18	1.4	2 – INTERMEDIATE DAMAGE	3	23	7	53	1.1	SO – SOLID COLOR	CR – CREAM; GN – GREEN; TN – TAN	V – VINE	1 – GOOD	
PI 176549	14.07; 12.05; 12.82; 11.96; 12.3	11.96; 12.05; 12.3; 12.82; 14.07	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	15		1 – SLIGHT DAMAGE	2	25	7	45	2	SO – SOLID COLOR	TN – TAN; CR – CREAM	V – VINE	1 – GOOD	
PI 176550	16.25; 16.9; 15.93; 27	15.93; 16.25; 16.9; 27	OR – ORANGE	GL – GLOBE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	30	2.4	3 – SEVERE DAMAGE	3	15	18	30	2.8	SP – SPECKLED; SO – SOLID COLOR	CR – CREAM; GN – GREEN	V – VINE	1 – GOOD	
PI 176551	15.12; 16.1; 23.6; 15.8; 20	15.12; 15.8; 16.1; 20; 23.6	OR – ORANGE	GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	30		1 – SLIGHT DAMAGE	4	18	20	20	2.7	SP – SPECKLED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	
PI 176552	15; 14.24; 11.3	11.3; 14.24; 15	YE – YELLOW	OG – OBLONG; GL – GLOBE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	23	2	3 – SEVERE DAMAGE	3	23	7	40	2	ST – STRIPED; MO – MOTTLED; SO – SOLID COLOR	TN – TAN; GN – GREEN; CR – CREAM; OR – ORANGE	S – SEMI-BUSH	1 – GOOD	
PI 176553	11.04; 9.2; 15.67; 13.48	9.2; 11.04; 13.48; 15.67	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	14		1 – SLIGHT DAMAGE	3	24	10	44	1.3	SO – SOLID COLOR	TN – TAN; CR – CREAM	S – SEMI-BUSH	1 – GOOD	
PI 176959	9.16; 12	9.16; 12	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	16		1 – SLIGHT DAMAGE	3	18	10	22	4.3	SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	2
PI 176961	12.52; 16.11	12.52; 16.11	OR – ORANGE	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	13		1 – SLIGHT DAMAGE	3	30	9	45	2.7	SO – SOLID COLOR	CR – CREAM; YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 176962	19.3; 13.9; 12.4; 16.52	12.4; 13.9; 16.52; 19.3	WH – WHITE; YE – YELLOW	OG – OBLONG; GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	30		1 – SLIGHT DAMAGE	4	18	18	30	1.7	SO – SOLID COLOR; MO – MOTTLED	YE – YELLOW; GN – GREEN	V – VINE	1 – GOOD	3
PI 176964	15.95; 18.23; 14.2	14.2; 15.95; 18.23	YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	15		2 – INTERMEDIATE DAMAGE	3	25	9	51	2.3	SO – SOLID COLOR	GN – GREEN; CR – CREAM; YE – YELLOW	S – SEMI-BUSH	1 – GOOD	
PI 176965	18; 18.1; 17.51; 20.92	17.51; 18; 18.1; 20.92	OR – ORANGE	GL – GLOBE	2 – RIBBED	1 – GOOD	29			4	19	23	23		MO – MOTTLED	OR – ORANGE; GN – GREEN	V – VINE	1 – GOOD	3
PI 177369	11.2; 11.76; 11.72; 16.97; 10.88; 15.04	10.88; 11.2; 11.72; 11.76; 15.04; 16; 16.97	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13			2	28	9	53		SO – SOLID COLOR	CR – CREAM; TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 177370	15; 16.34; 17.14	15; 16.34; 17.14	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12	1.2	2 – INTERMEDIATE DAMAGE	2	33	9	48	1.5	SO – SOLID COLOR	YE – YELLOW; CR – CREAM	S – SEMI-BUSH	1 – GOOD	
PI 177372	16.75; 17.48	16.75; 17.48; 21.15	YE – YELLOW	OG – OBLONG; OT – OBLATE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	25		2 – INTERMEDIATE DAMAGE	3	15	10	45	2.3	SO – SOLID COLOR; SP – SPECKLED; MO – MOTTLED	CR – CREAM; GN – GREEN; OR – ORANGE	S – SEMI-BUSH	1 – GOOD	
PI 177373	17.94; 13.64; 17.96	13.64; 17.94; 17.96	OR – ORANGE	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	10	2	2 – INTERMEDIATE DAMAGE	3	27		40	2	SP – SPECKLED; SO – SOLID COLOR; MO – MOTTLED	OR – ORANGE; GN – GREEN; CR – CREAM	S – SEMI-BUSH	1 – GOOD	
PI 177374	16.52; 20.46	16.52; 20.46	YE – YELLOW	OB – OBOVATE; OT – OBLATE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	22			4	14	20	18		SP – SPECKLED; MO – MOTTLED; ST – STRIPED	YE – YELLOW	V – VINE	1 – GOOD	2
PI 177375	14.63; 20.34; 18.46	14.63; 18.46; 20.34		GL – GLOBE	2 – RIBBED	5 – POOR	14	78.1	1 – SLIGHT DAMAGE				10	8.7	SO – SOLID COLOR	GN – GREEN; YE – YELLOW	V – VINE	5 – POOR	
PI 177376	18.46; 20.5	18.46; 20.5	YE – YELLOW; OR – ORANGE	GL – GLOBE; OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	23	1.6	2 – INTERMEDIATE DAMAGE	4	18	18	45	1.4	SO – SOLID COLOR	GN – GREEN	V – VINE	1 – GOOD	3
PI 177377	15.64; 17.53; 13	13; 15.64; 17.53	OR – ORANGE; YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	17		3 – SEVERE DAMAGE	3	25	12	40	1.7	SO – SOLID COLOR	CR – CREAM	V – VINE	1 – GOOD	2
PI 178896	14.05; 17.1; 16.75; 16.24	14.05; 16.24; 16.75; 17.1	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	14	1.4	2 – INTERMEDIATE DAMAGE	3			30	2.2	SO – SOLID COLOR	CR – CREAM; TN – TAN	V – VINE	1 – GOOD	
PI 178897	20.96; 19	19; 20.96	YE – YELLOW	GL – GLOBE; OB – OBOVATE	2 – RIBBED	1 – GOOD	22	1	1 – SLIGHT DAMAGE	2			21	2.1	SO – SOLID COLOR	TN – TAN; CR – CREAM	V – VINE	1 – GOOD	
PI 178898	17.29; 18.32; 11.38; 11.1	11.1; 11.38; 17.29; 18.32	OR – ORANGE	GL – GLOBE; OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	20		2 – INTERMEDIATE DAMAGE	4	20	13	38	1.7	ST – STRIPED; SO – SOLID COLOR; SP – SPECKLED	TN – TAN; CR – CREAM; GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	
PI 179267	19; 16.68; 14.14; 10.9	10.9; 14.14; 16.68; 19	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	18		1 – SLIGHT DAMAGE	3	32	15	43	1.3	SO – SOLID COLOR	TN – TAN; YE – YELLOW; CR – CREAM	V – VINE	1 – GOOD	
PI 179268	15.8; 15.88; 14.79; 15.22; 15.685; 14.85	14.79; 14.85; 15.22; 15.685; 15.8; 15.88; 17.48	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	14		1 – SLIGHT DAMAGE	3	40	9	47	1.3	SO – SOLID COLOR	CR – CREAM; YE – YELLOW	S – SEMI-BUSH	1 – GOOD	2
PI 179269	16.08; 16.09; 15.74	15.74; 16.08; 16.09	OR – ORANGE	OG – OBLONG	1 – SMOOTH	1 – GOOD	13		1 – SLIGHT DAMAGE	3	43	8	55	3	SO – SOLID COLOR	TN – TAN; YE – YELLOW; CR – CREAM; GN – GREEN	S – SEMI-BUSH	1 – GOOD	
PI 179270	18.14; 16.69	16.69; 18.14	OR – ORANGE	OG – OBLONG; GL – GLOBE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	30		1 – SLIGHT DAMAGE	4	15	20	20	2	SP – SPECKLED; MO – MOTTLED	GN – GREEN	V – VINE	1 – GOOD	
PI 179271	17; 15.66; 15.03; 14.9	14.9; 15.03; 15.66; 17	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	18	1.5	2 – INTERMEDIATE DAMAGE	2	33	10	38	2.9	SO – SOLID COLOR	CR – CREAM; YE – YELLOW; TN – TAN	V – VINE	1 – GOOD	
PI 179273	13.8; 20.72; 14.3; 9.8; 17	9.8; 13.8; 14.3; 17; 20.72	OR – ORANGE	OG – OBLONG; OV – OVATE	2 – RIBBED	1 – GOOD	21	72.6	2 – INTERMEDIATE DAMAGE	5	25	15	31	7.2	ST – STRIPED; MO – MOTTLED	YE – YELLOW; GN – GREEN	V – VINE	1 – GOOD	3
PI 179274	15.56; 16	15.56; 16	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	16	3	3 – SEVERE DAMAGE	3	30	13	45	3	SO – SOLID COLOR	CR – CREAM; TN – TAN	S – SEMI-BUSH	1 – GOOD	2
NSL 180768	9.04; 9.96	9.04; 9.96																	
PI 181757	9.49; 13.52; 11.08	9.49; 11; 11.08; 13.52	YE – YELLOW	OG – OBLONG	2 – RIBBED	1 – GOOD	30	83.6	2 – INTERMEDIATE DAMAGE	3	15	10	35	8.5	SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	
PI 181758	13.8; 7.1; 13.49	7.1; 13.49; 13.8	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	12	71.3	2 – INTERMEDIATE DAMAGE	2		9	25	7.3	MO – MOTTLED	TN – TAN; CR – CREAM	V – VINE	1 – GOOD	
PI 181759	11.36; 12.99	11.36; 12.99	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12	63.1	1 – SLIGHT DAMAGE	2	23		30	10	SO – SOLID COLOR	CR – CREAM; TN – TAN	V – VINE	1 – GOOD	
PI 181760	12; 16.6	12; 16.6	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13		1 – SLIGHT DAMAGE	2	20	10	30	1.7	SO – SOLID COLOR	YE – YELLOW; TN – TAN; CR – CREAM	V – VINE	1 – GOOD	
PI 181761	13; 9.2; 11.57	9.2; 11.57; 13	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	17		1 – SLIGHT DAMAGE	2	19	13	30	1.3	SO – SOLID COLOR	YE – YELLOW	V – VINE	1 – GOOD	
PI 181763	15.88; 18.9; 16	15.88; 16; 18.9	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	15	1.3	3 – SEVERE DAMAGE	4	27	10	40	2.8	SO – SOLID COLOR	GN – GREEN; TN – TAN	V – VINE	1 – GOOD	2
PI 181764	15.43; 16; 13.04	13.04; 15.43; 16	OR – ORANGE	OG – OBLONG	1 – SMOOTH	1 – GOOD	12	1	2 – INTERMEDIATE DAMAGE	2		10	29	2	MO – MOTTLED	OR – ORANGE; GN – GREEN; TN – TAN	V – VINE	1 – GOOD	
PI 181878	10.2; 14.78; 11.3; 17.79	10.2; 11.3; 14.78; 17.79	YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	15		2 – INTERMEDIATE DAMAGE	3	23	12	32	6.3	SO – SOLID COLOR	YE – YELLOW; GN – GREEN; CR – CREAM	V – VINE	1 – GOOD	2
PI 181912	16.39; 12.4; 19	12.4; 16.39; 19	YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	12		0 – NO DAMAGE	2	25	9	30	2	SO – SOLID COLOR	CR – CREAM; TN – TAN	V – VINE	1 – GOOD	
PI 600995	7.68	7.68; 9.28; 9.344; 10.7																	
PI 181944	13; 12; 12.43; 9.74; 9.3	9.3; 9.74; 12; 12.43; 13	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12	3	4 – EXTREMELY SEVERE (PLANTS DEAD)	3	19		23	3	SO – SOLID COLOR	GN – GREEN; TN – TAN	V – VINE	1 – GOOD	2
PI 182198	13.25; 12.9; 11.69; 12.87	11.69; 12.87; 12.9; 13.25	OR – ORANGE; YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12			3	23	10	33		SO – SOLID COLOR; SP – SPECKLED	TN – TAN; YE – YELLOW; GN – GREEN; OR – ORANGE	S – SEMI-BUSH	1 – GOOD	2
PI 182199	12.3; 16.17; 16.11	12.3; 16.11; 16.17	YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	15		1 – SLIGHT DAMAGE	2	28	10	35	1.3	ST – STRIPED; SO – SOLID COLOR; SP – SPECKLED	OR – ORANGE; GN – GREEN; CR – CREAM	V – VINE	1 – GOOD	
PI 182200	18.43	18.43	OR – ORANGE	GL – GLOBE; OG – OBLONG	4 – WARTY; 2 – RIBBED	1 – GOOD	20	0.8	2 – INTERMEDIATE DAMAGE	3	15		30	3.2	MO – MOTTLED; SP – SPECKLED	GN – GREEN; YE – YELLOW	V – VINE	1 – GOOD	
PI 182201	13.73; 12.73; 19.1; 15.97; 17.63; 15.67	12.73; 13; 13.73; 15.67; 15.97; 17.63; 19.1	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	20	1.3	2 – INTERMEDIATE DAMAGE	4	24	14	40	0.7	SO – SOLID COLOR	CR – CREAM; GN – GREEN; YE – YELLOW	V – VINE	1 – GOOD	3
PI 182202	11.92; 16.7; 17.94; 14	11.92; 14; 16.43; 16.7; 17.94	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	15	1.2	1 – SLIGHT DAMAGE	3	35	13	45	2.1	SO – SOLID COLOR	YE – YELLOW; CR – CREAM	S – SEMI-BUSH	1 – GOOD	
PI 182203	11.1; 11.12; 11.9; 13.71	11.1; 11.12; 11.9; 13.71	OR – ORANGE	OG – OBLONG	1 – SMOOTH	1 – GOOD	10	2.2	1 – SLIGHT DAMAGE	1	28	9	30	3.8	MO – MOTTLED; SO – SOLID COLOR	GN – GREEN; YE – YELLOW	V – VINE	1 – GOOD	
PI 183232	14.87; 15.67; 13.98; 15.38; 15.08; 15.1	13.98; 14.87; 15.08; 15.38; 15.67; 16.27	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	14	3	2 – INTERMEDIATE DAMAGE	3	30	11	35	3	SO – SOLID COLOR; SP – SPECKLED	YE – YELLOW; GN – GREEN	S – SEMI-BUSH	1 – GOOD	
PI 183678	12.65; 11.95; 13.22; 10.98	10.98; 11; 11.95; 12.65; 13.22	YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	15	1.4	2 – INTERMEDIATE DAMAGE	2	25	13	28	5.6	SO – SOLID COLOR	CR – CREAM; YE – YELLOW; TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 185032	12.24; 16; 15.16	12.24; 15.16	OR – ORANGE; YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED; 4 – WARTY	1 – GOOD	15	3	3 – SEVERE DAMAGE	3	23	10	51	3	SP – SPECKLED; SO – SOLID COLOR; MO – MOTTLED	YE – YELLOW; GN – GREEN; CR – CREAM	S – SEMI-BUSH	1 – GOOD	
PI 185033	19.43; 20; 16.78	16.78; 19.43; 20	OR – ORANGE	OG – OBLONG; OB – OBOVATE; GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	28	1.3	2 – INTERMEDIATE DAMAGE	4	23	20	43	0.7	SP – SPECKLED; MO – MOTTLED	GN – GREEN	V – VINE	1 – GOOD	3
PI 189552	15.13	15.13																	
PI 601144	12.48	12.16; 12.48																	
PI 192941	16.48; 17	16.48; 17	YE – YELLOW	OB – OBOVATE	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	14	1	4 – EXTREMELY SEVERE (PLANTS DEAD)	2	14	11	19	2	MO – MOTTLED; SO – SOLID COLOR	GN – GREEN; YE – YELLOW	V – VINE	3 – MEDIUM	
PI 193499	17; 16	16; 17	YE – YELLOW	OB – OBOVATE; OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	20	140.5	1 – SLIGHT DAMAGE	3	25	10	28	6.2	SP – SPECKLED; SO – SOLID COLOR; MO – MOTTLED	GN – GREEN; YE – YELLOW; TN – TAN	V – VINE	1 – GOOD	
PI 193501	13; 14.54; 13.55	13; 13.55; 14.54	OR – ORANGE	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	19	29.5	3 – SEVERE DAMAGE	6	36	14	54	5.7	SO – SOLID COLOR	YE – YELLOW	V – VINE	1 – GOOD	4
PI 193502	12.06; 15.13	15.13; 12.06	OR – ORANGE	OT – OBLATE	2 – RIBBED	3 – MEDIUM	19	3	4 – EXTREMELY SEVERE (PLANTS DEAD)	2	9	15	14	3	SO – SOLID COLOR	OR – ORANGE	V – VINE	3 – MEDIUM	
PI 601193	8.77	8.52; 8.77																	
PI 197671	4.9; 3.68; 3.02; 3.96; 3.76	3.02; 3.68; 3.76; 3.96; 4.9	YE – YELLOW	OB – OBOVATE; GL – GLOBE	1 – SMOOTH	1 – GOOD	8			1	8	6	9		ST – STRIPED; MO – MOTTLED	GN – GREEN	V – VINE	1 – GOOD	
PI 199015	21.67; 9.76	21.67; 9.76	OR – ORANGE	OG – OBLONG; OT – OBLATE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	30			4	15	22	28		SO – SOLID COLOR; MO – MOTTLED; SP – SPECKLED	GN – GREEN	V – VINE	1 – GOOD	
PI 201475	17.36; 14.41; 18.8; 17.6; 14.47	14.41; 14.47; 17.36; 17.6; 18.8	YE – YELLOW	GL – GLOBE	2 – RIBBED; 4 – WARTY	1 – GOOD	18			2			15		SO – SOLID COLOR	GN – GREEN	V – VINE	1 – GOOD	
PI 204693	13.24; 17.44; 20.84	13.24; 17.44; 20.84		OG – OBLONG; OT – OBLATE	2 – RIBBED	1 – GOOD	23				12	10	43		MO – MOTTLED; SO – SOLID COLOR; ST – STRIPED	GN – GREEN; OR – ORANGE; YE – YELLOW; TN – TAN	V – VINE	1 – GOOD	
PI 204694	16.11; 17.06; 16.67; 15.88	15.88; 16.11; 16.67; 17.06	CR – CREAM	OG – OBLONG; GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	27			3	19	8	36		MO – MOTTLED; SO – SOLID COLOR; SP – SPECKLED	TN – TAN	V – VINE	1 – GOOD	2
PI 204695	16.52; 16.24; 11.33	11.33; 16.24; 16.52	CR – CREAM	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13			3	22	9	32		SO – SOLID COLOR	TN – TAN; YE – YELLOW; OR – ORANGE	V – VINE	1 – GOOD	2
PI 204696	17; 18.29; 14.95; 10.76	10.76; 14.95; 17; 18.29	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12			3	25	7	40		SP – SPECKLED; SO – SOLID COLOR; MO – MOTTLED	GN – GREEN; YE – YELLOW; TN – TAN	V – VINE	1 – GOOD	2
PI 204697	15.66; 17.57; 14.1	14.1; 15.66; 17.57	YE – YELLOW	OG – OBLONG; GL – GLOBE	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	1 – GOOD	24	3	4 – EXTREMELY SEVERE (PLANTS DEAD)	3	23	10	33	3	SO – SOLID COLOR	TN – TAN; YE – YELLOW; OR – ORANGE	V – VINE	1 – GOOD	2
PI 204698	14.68	14; 14.68	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	33	1	2 – INTERMEDIATE DAMAGE	3	60	11	70	1.9	MO – MOTTLED; SO – SOLID COLOR; ST – STRIPED	TN – TAN	V – VINE	1 – GOOD	2
PI 206426	11.9; 18.4; 14.12; 11.66	11.66; 11.9; 14.12; 18.4	CR – CREAM	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	12	40.2	1 – SLIGHT DAMAGE	3	30	10	38	2.9	SO – SOLID COLOR	YE – YELLOW	S – SEMI-BUSH	1 – GOOD	2
PI 206956	12.7; 20.4; 14; 20.52	12.7; 14; 20.4; 20.52	WH – WHITE; CR – CREAM	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12	13.2	2 – INTERMEDIATE DAMAGE	3	35	10	40	2.4	SO – SOLID COLOR	YE – YELLOW	B – BUSH	1 – GOOD	2
