ACCESSION	FLESH COLOR	WATERMELON MOSAIC	DAYS TO POLLINATION	FLESH DEPTH	FRUIT DIAMETER	FRUIT LENGTH	FRUIT SET	PLANT HABIT	POWDERY MILDEW	FRUIT RIBBING	UNIFORMITY	FRUIT SPOTTING	PLANT VIGOR	FRUIT COLOR	CUCUMBER MOSAIC VIRUS	FRUIT SURFACE COLOR	FRUIT SKIN TEXTURE	MAXIMUM PLANT VIGOR	CUCUMBER BEETLE INJURY	MINIMUM PLANT VIGOR	FRUIT LENGTH MAXIMUM	SQUASHBUG NYMPH	PLANT TYPE	FLESH THICKNESS MAXIMUM	SQUASHBUG ADULT	FRUIT SHAPE	FRUIT WIDTH MAXIMUM	FRUIT SURFACE PATTERN	FRUIT LENGTH MINIMUM	FRUIT WIDTH MINIMUM	100 SEED WEIGHT	WEIGHT OF 100 SEEDS	VINE-LENGTH	FRUIT SURFACE	MATURITY	FLESH THICKNESS MINIMUM
PI 179264	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	58	3	21	29	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT); 5 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT; 5 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 179265	3 – PALE ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	43	4	25	22	9 – EXCELLENT	2 – VINE		4 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 179266	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	52	3.5	21	15	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT); 8 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT); 9 – EXCELLENT																							
PI 179272	1 – YELLOW	1 – SLIGHT	42	1.5	36	25	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)		2 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	1 – SLIGHT																					
PI 181751	1 – YELLOW; YE – YELLOW	1 – SLIGHT	42	3	25	21	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)			CR – CREAM; WH – WHITE	2 – RIBBED	1 – GOOD	0 – NO DAMAGE	1 – GOOD	33		V – VINE	3	2.3	OT – OBLATE; GL – GLOBE	33	SO – SOLID COLOR	15	15						
PI 181762	1 – YELLOW	7 – (1 = SLIGHT,  9 = SEVERE)		1.5	28	21	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)			5 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 181877	1 – YELLOW	2 – (1 = SLIGHT,  9 = SEVERE)	42	1	26	18	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)		3 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	4 – (1 = SLIGHT,  9 = SEVERE)																					
PI 181879	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	47	3.8	25	21	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 181911	4 – MEDIUM ORANGE	1 – SLIGHT	55	3.5	38; 39	30	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – GRAY												5 – OBLATE							8	1 – SMOOTH	8 – LATE	
PI 181943	1 – YELLOW; YE – YELLOW	4 – (1 = SLIGHT,  9 = SEVERE)	42	2	30	25	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)	GY – GRAY; OR – ORANGE; CR – CREAM	2 – RIBBED	1 – GOOD	1 – SLIGHT DAMAGE	1 – GOOD	35		V – VINE	5	8	GL – GLOBE; OT – OBLATE	25	MO – MOTTLED; SO – SOLID COLOR; SP – SPECKLED	30							
PI 182195	5 – DARK ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	42	1.5	21	9	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)		5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)																					
PI 183232	YE – YELLOW															YE – YELLOW; GN – GREEN	1 – SMOOTH; 2 – RIBBED	1 – GOOD	2 – INTERMEDIATE DAMAGE	1 – GOOD	35	3	S – SEMI-BUSH	3	3	OG – OBLONG	14	SO – SOLID COLOR; SP – SPECKLED	30	11	15.67; 14.87; 13.98; 15.38; 15.08; 15.1	13.98; 14.87; 15.08; 15.38; 15.67; 16.27				
PI 183259	YE – YELLOW; 2 – YELLOW-ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	42	2	38	42	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY		GN – GREEN	2 – RIBBED	1 – GOOD		1 – GOOD	30		V – VINE	4		GL – GLOBE; OT – OBLATE	30	SO – SOLID COLOR	20	28						
PI 183314	OR – ORANGE; 5 – DARK ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	41	1.5	19	14	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)		7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE		OR – ORANGE; YE – YELLOW	2 – RIBBED	1 – GOOD		1 – GOOD	10		V – VINE	4		OT – OBLATE	21	SO – SOLID COLOR		15						
PI 183679	5 – DARK ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	43	2	30	29	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 184745	3 – PALE ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	40	1.5	20	29	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)		5 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	1 – SLIGHT																					
PI 186488	4 – MEDIUM ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	57	1.5	20	15	1 – POOR	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	4 – (1 = POOR,  9 = EXCELLENT)		5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 188694	3 – PALE ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	58	2	30	29	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY	1 – SLIGHT																					
PI 193499	YE – YELLOW															GN – GREEN; TN – TAN; YE – YELLOW	2 – RIBBED; 1 – SMOOTH	1 – GOOD	1 – SLIGHT DAMAGE	1 – GOOD	28	140.5	V – VINE	3	6.2	OG – OBLONG; OB – OBOVATE	20	MO – MOTTLED; SO – SOLID COLOR; SP – SPECKLED	25	10	17; 16	16; 17				
PI 193500	1 – YELLOW	4 – (1 = SLIGHT,  9 = SEVERE)	53	2	48	60	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	3 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	3 – ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)																					
PI 193772	1 – YELLOW	5 – (1 = SLIGHT,  9 = SEVERE)	37	4	46	40	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	1 – GRAY	8 – (1 = SLIGHT,  9 = SEVERE)																					
PI 194268	4 – MEDIUM ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	56	2	32	26	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)		8 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	1 – SLIGHT																					
PI 195929	1 – YELLOW	5 – (1 = SLIGHT,  9 = SEVERE)		2	25	23	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		5 – (1 = SLIGHT,  9 = PRONOUNCED)			8 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 196577	1 – YELLOW	5 – (1 = SLIGHT,  9 = SEVERE)	52	2	28	24	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT); 9 – EXCELLENT	1 – GRAY	6 – (1 = SLIGHT,  9 = SEVERE)																					
PI 198672		8 – (1 = SLIGHT,  9 = SEVERE)	39	2.2	18	12	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 199015	OR – ORANGE															GN – GREEN	2 – RIBBED; 1 – SMOOTH	1 – GOOD		1 – GOOD	28		V – VINE	4		OG – OBLONG; OT – OBLATE	30	SO – SOLID COLOR; MO – MOTTLED; SP – SPECKLED	15	22	21.67; 9.76	9.76; 21.67				
PI 199031	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	50	3.5	24	25	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	9 – PRONOUNCED	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 199032	2 – YELLOW-ORANGE	1 – SLIGHT	57	1.5	37	27	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	4 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 199033	1 – YELLOW	3 – (1 = SLIGHT,  9 = SEVERE)	58	1.5	38	32	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)		7 – (1 = POOR,  9 = EXCELLENT)		2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 201254									9 – SUSCEPTIBLE																											
PI 211989	4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	46	3.5	31	25	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 211990	4 – MEDIUM ORANGE; OR – ORANGE	1 – SLIGHT	42	4	30	31	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	1 – SLIGHT	2 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY		GY – GRAY; OR – ORANGE	1 – SMOOTH; 2 – RIBBED	1 – GOOD		1 – GOOD	46		V – VINE	5		OG – OBLONG; GL – GLOBE	20	MO – MOTTLED; SP – SPECKLED	18	18						
PI 211991	3 – PALE ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	43	1.5	28	22	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	3 – (1 = POOR,  9 = EXCELLENT)		5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)																					
PI 211992	1 – YELLOW	7 – (1 = SLIGHT,  9 = SEVERE)	48	1.5	30	38	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)		4 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	3 – ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 211997	3 – PALE ORANGE		49	3.5	38; 40	38; 31	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	2 – YELLOW; 1 – GRAY												4 – ROUND							10	1 – SMOOTH	5 – MIDSEASON	
PI 212009	4 – MEDIUM ORANGE	9 – SEVERE	40	3.5	17	11	9 – EXCELLENT	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 212010	YE – YELLOW															GN – GREEN	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	2 – INTERMEDIATE DAMAGE	3 – MEDIUM	25	232.8	V – VINE	4	8.6	OT – OBLATE	33	SO – SOLID COLOR			16	16				3
PI 214121	4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	46	3	25	18	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 215750	2 – YELLOW-ORANGE	8 – (1 = SLIGHT,  9 = SEVERE)	53	3.5	20	21	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)		5 – (1 = POOR,  9 = EXCELLENT); 8 – (1 = POOR,  9 = EXCELLENT)																							
PI 218072	4 – MEDIUM ORANGE	1 – SLIGHT	46	3	22	23	9 – EXCELLENT	2 – VINE		7 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	6 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 219694	WH – WHITE															GN – GREEN	4 – WARTY; 1 – SMOOTH; 2 – RIBBED	1 – GOOD	4 – EXTREMELY SEVERE (PLANTS DEAD)	1 – GOOD	35	1	V – VINE	5	2	GL – GLOBE; OG – OBLONG	20	SO – SOLID COLOR; SP – SPECKLED	15	15	18.48; 10.65; 25; 22.76; 30.27; 22.12	10.65; 18.48; 22.12; 22.76; 23.838; 24.16; 25; 30.27				4
PI 220861	4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	49	3.6	50	33	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	3 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	9 – EXCELLENT	1 – GRAY																						
PI 221923	2 – YELLOW-ORANGE		47	3.5	28	30	9 – EXCELLENT	2 – VINE		5 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT); 7 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT); 9 – EXCELLENT																							
PI 222188		1 – SLIGHT		3			6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		7 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)																							
PI 222784	1 – YELLOW	2 – (1 = SLIGHT,  9 = SEVERE)	54	1	27	30	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)		7 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	3 – ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 223438	2 – YELLOW-ORANGE	4 – (1 = SLIGHT,  9 = SEVERE)	57	2	30	19	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)		2 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 224669	4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)		6.2	18	13	9 – EXCELLENT		5 – (1 = SLIGHT,  9 = SEVERE)				7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 224670	5 – DARK ORANGE	1 – SLIGHT	41	6.5	20	13	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)		9 – EXCELLENT	3 – ORANGE	1 – SLIGHT																					
PI 226463	OR – ORANGE; 4 – MEDIUM ORANGE		35	2.5	30	23	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)			YE – YELLOW; GN – GREEN	2 – RIBBED	1 – GOOD		1 – GOOD	26		V – VINE	4		OT – OBLATE; OV – OVATE	37	MO – MOTTLED; SO – SOLID COLOR	20	10						
PI 227361	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	47	1	24	23	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	4 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	5 – (1 = SLIGHT,  9 = SEVERE)																					
PI 230180	4 – MEDIUM ORANGE		42	4	35	28	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 234253	4 – MEDIUM ORANGE		43	1	15	20	9 – EXCELLENT	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)		9 – EXCELLENT		8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 234608	5 – DARK ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	43	3.5	21	12	9 – EXCELLENT	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 234609	5 – DARK ORANGE	9 – SEVERE	61	3.5	22	15	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	9 – PRONOUNCED	7 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 234610	5 – DARK ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	55	3	27	17	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 234612	4 – MEDIUM ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	43	6	31	11	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT)		5 – (1 = POOR,  9 = EXCELLENT)	2 – WHITE																						
PI 244702	4 – MEDIUM ORANGE	8 – (1 = SLIGHT,  9 = SEVERE)	48	4.5	29	17	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT); 8 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT; 7 – (1 = POOR,  9 = EXCELLENT)																							
PI 244704		7 – (1 = SLIGHT,  9 = SEVERE)	52	3	17	15	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	2 – (1 = SLIGHT,  9 = SEVERE)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 245142	4 – MEDIUM ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	44	4.5	25	14	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	1 – SLIGHT	3 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	3 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 249013	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	54	3	30	25	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	5 – (1 = POOR,  9 = EXCELLENT); 6 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	7 – (1 = POOR,  9 = EXCELLENT); 9 – EXCELLENT	3 – ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 249914	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	47	4	24	19	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)																							
PI 255345					20	36			9 – SUSCEPTIBLE					1 – ORANGE												3 – NECKED							5	1 – SMOOTH	5 – MIDSEASON	
PI 255941														9 – VARIABLE												7 – VARIABLE								1 – SMOOTH	5 – MIDSEASON	
PI 257287	YE – YELLOW															GN – GREEN	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	2 – INTERMEDIATE DAMAGE	3 – MEDIUM	35	1.6	V – VINE	3	4.2	OG – OBLONG	15	SO – SOLID COLOR; SP – SPECKLED	30	12	15.82; 16.09; 17.8; 18	15.82; 16.09; 17.8; 18				
PI 260652	5 – DARK ORANGE; YE – YELLOW	6 – (1 = SLIGHT,  9 = SEVERE)	37	2.2	23	18	3 – (1 = POOR,  9 = EXCELLENT)	1 – BUSH	7 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)		5 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY	3 – (1 = SLIGHT,  9 = SEVERE)	GN – GREEN	4 – WARTY; 2 – RIBBED	1 – GOOD		1 – GOOD	15		V – VINE	5		OT – OBLATE	21	SO – SOLID COLOR; SP – SPECKLED	10							
PI 265555	4 – MEDIUM ORANGE			4	32	18	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)			5 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 265556	4 – MEDIUM ORANGE; OR – ORANGE			4.8	38	18	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)			7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE		YE – YELLOW; OR – ORANGE	2 – RIBBED	1 – GOOD		1 – GOOD	38		V – VINE	7		GL – GLOBE	46	SO – SOLID COLOR	18	30						
PI 265557	4 – MEDIUM ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	42	2.5	22	21	9 – EXCELLENT	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
